company_id,type,rule_id,text,confidence_pct
ABB,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ABB,con,C00,Subject to macroeconomic cyclicality and commodity/input cost fluctuations,65
ADANIENSOL,pro,P00,Established market position in core sector with resilient operations,70
ADANIENSOL,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
ADANIENSOL,con,C11,Net debt exceeding 3 times operating profit indicates high leverage ratio limiting flexibility,85
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIENT,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
ADANIENT,con,C11,Net debt exceeding 3 times operating profit indicates high leverage ratio limiting flexibility,85
ADANIGREEN,pro,P00,Established market position in core sector with resilient operations,70
ADANIGREEN,con,C01,Debt-to-equity ratio of 6.38 is elevated for a non-financial company and warrants monitoring,85
ADANIGREEN,con,C11,Net debt exceeding 3 times operating profit indicates high leverage ratio limiting flexibility,85
ADANIPORTS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIPORTS,con,C00,Subject to macroeconomic cyclicality and commodity/input cost fluctuations,65
ADANIPOWER,pro,P02,Strong free cash flow generation over recent years signals healthy business fundamentals,85
ADANIPOWER,con,C00,Subject to macroeconomic cyclicality and commodity/input cost fluctuations,65
AMBUJACEM,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
AMBUJACEM,con,C00,Subject to macroeconomic cyclicality and commodity/input cost fluctuations,65
APOLLOHOSP,pro,P02,Strong free cash flow generation over recent years signals healthy business fundamentals,85
APOLLOHOSP,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
ASIANPAINT,pro,P02,Strong free cash flow generation over recent years signals healthy business fundamentals,85
ASIANPAINT,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
ATGL,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ATGL,con,C00,Subject to macroeconomic cyclicality and commodity/input cost fluctuations,65
AXISBANK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
AXISBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
AXISBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
AXISBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
